t_s,obj,class,az_deg,dist_m,vis
1.1,1,bike_bell,-177.2,20.53,0
1.2,1,bike_bell,-177.2,20.24,0
1.3,1,bike_bell,-177.2,19.94,0
1.4,1,bike_bell,-177.1,19.64,0
1.5,1,bike_bell,-177.1,19.35,0
1.6,1,bike_bell,-177.0,19.05,0
1.7,1,bike_bell,-177.0,18.75,0
1.8,1,bike_bell,-176.9,18.45,0
1.9,1,bike_bell,-176.9,18.16,0
2.0,1,bike_bell,-176.8,17.86,0
2.1,1,bike_bell,-176.8,17.56,0
2.2,1,bike_bell,-176.7,17.27,0
2.3,1,bike_bell,-176.7,16.97,0
2.4,1,bike_bell,-176.6,16.67,0
2.5,1,bike_bell,-176.5,16.38,0
2.6,1,bike_bell,-176.5,16.08,0
2.7,1,bike_bell,-176.4,15.78,0
2.8,1,bike_bell,-176.3,15.49,0
2.9,1,bike_bell,-176.3,15.19,0
3.0,1,bike_bell,-176.2,14.89,0
3.1,1,bike_bell,-176.1,14.60,0
3.2,1,bike_bell,-176.0,14.30,0
3.3,1,bike_bell,-176.0,14.01,0
3.4,1,bike_bell,-175.9,13.71,0
3.5,1,bike_bell,-175.8,13.41,0
3.6,1,bike_bell,-175.7,13.12,0
3.7,1,bike_bell,-175.6,12.82,0
3.8,1,bike_bell,-175.5,12.52,0
3.9,1,bike_bell,-175.4,12.23,0
4.0,1,bike_bell,-175.3,11.93,0
4.1,1,bike_bell,-175.1,11.63,0
4.2,1,bike_bell,-175.0,11.34,0
4.3,1,bike_bell,-174.9,11.04,0
4.4,1,bike_bell,-174.7,10.75,0
4.5,1,bike_bell,-174.6,10.45,0
4.6,1,bike_bell,-174.4,10.15,0
4.7,1,bike_bell,-174.2,9.86,0
4.8,1,bike_bell,-174.1,9.56,0
4.9,1,bike_bell,-173.9,9.27,0
5.0,1,bike_bell,-173.7,8.97,0
5.1,1,bike_bell,-173.5,8.68,0
5.2,1,bike_bell,-173.2,8.38,0
5.3,1,bike_bell,-173.0,8.09,0
5.4,1,bike_bell,-172.7,7.79,0
5.5,1,bike_bell,-172.4,7.50,0
5.6,1,bike_bell,-172.1,7.20,0
5.7,1,bike_bell,-171.8,6.91,0
5.8,1,bike_bell,-171.4,6.61,0
5.9,1,bike_bell,-171.0,6.32,0
6.0,1,bike_bell,-170.6,6.03,1
6.1,1,bike_bell,-170.1,5.74,1
6.2,1,bike_bell,-169.5,5.44,1
6.3,1,bike_bell,-168.9,5.15,1
6.4,1,bike_bell,-168.3,4.86,1
6.5,1,bike_bell,-167.5,4.57,1
6.6,1,bike_bell,-166.6,4.28,1
6.7,1,bike_bell,-165.7,3.99,1
6.8,1,bike_bell,-164.5,3.70,1
6.9,1,bike_bell,-163.2,3.42,1
7.0,1,bike_bell,-161.6,3.14,0
7.1,1,bike_bell,-159.7,2.86,0
7.2,1,bike_bell,-157.5,2.58,0
7.3,1,bike_bell,-154.6,2.31,0
7.4,1,bike_bell,-151.1,2.04,0
7.5,1,bike_bell,-146.5,1.79,0
7.6,1,bike_bell,-140.4,1.55,0
7.7,1,bike_bell,-132.2,1.34,0
7.8,1,bike_bell,-121.3,1.16,0
7.9,1,bike_bell,-107.2,1.04,0
8.0,1,bike_bell,-90.7,1.00,0
8.1,1,bike_bell,-74.1,1.04,0
8.2,1,bike_bell,-59.9,1.16,0
8.3,1,bike_bell,-48.8,1.34,0
8.4,1,bike_bell,-40.5,1.55,0
8.5,1,bike_bell,-34.3,1.79,0
8.6,1,bike_bell,-29.6,2.04,0
8.7,1,bike_bell,-26.0,2.31,0
8.8,1,bike_bell,-23.1,2.58,0
8.9,1,bike_bell,-20.7,2.86,0
9.0,1,bike_bell,-18.8,3.14,0
9.1,1,bike_bell,-17.2,3.42,0
9.2,1,bike_bell,-15.8,3.70,0
9.3,1,bike_bell,-14.7,3.99,0
9.4,1,bike_bell,-13.7,4.28,0
9.5,1,bike_bell,-12.8,4.57,0
9.6,1,bike_bell,-12.0,4.86,0
9.7,1,bike_bell,-11.3,5.15,0
9.8,1,bike_bell,-10.7,5.44,0
9.9,1,bike_bell,-10.2,5.74,0
